Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Royals' Jeremy Guthrie facing 1-2-3
t1,0-0,0,---,5(1-2) CSBFX,O,SFG,Gregor Blanco,Jeremy Guthrie,-2%,48%,Flyball: CF
t1,0-0,1,---,3(1-1) BCX,O,SFG,Joe Panik,Jeremy Guthrie,-2%,46%,Groundout: 1B-P
t1,0-0,2,---,2(0-1) FX,O,SFG,Buster Posey,Jeremy Guthrie,-1%,45%,Groundout: 3B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 0 Royals 0.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Royals 0.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Royals 0.
Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Giants' Tim Hudson facing 1-2-3
b1,0-0,0,---,6(2-2) SBSFBX,O,KCR,Alcides Escobar,Tim Hudson,2%,47%,Lineout: LF
b1,0-0,1,---,6(3-2) CBFBBB,,KCR,Norichika Aoki,Tim Hudson,-2%,45%,Walk
b1,0-0,1,1--,3(2-0) B1BX,O,KCR,Lorenzo Cain,Tim Hudson,3%,48%,Groundout: 3B-2B/Forceout at 2B
b1,0-0,2,1--,4(1-2) SBF>C,O,KCR,Eric Hosmer,Tim Hudson,2%,50%,Strikeout Looking
