Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3,Top of the 1st Giants Batting Tied 0-0 Pirates' Trevor Williams facing 1-2-3
t1,0-0,0,---,5(2-2) BFBSX,O,SFG,Denard Span,Trevor Williams,-2%,48%,Groundout: P-1B
t1,0-0,1,---,5(2-2) BBFFX,O,SFG,Joe Panik,Trevor Williams,-2%,46%,Groundout: SS-1B
t1,0-0,2,---,2(1-0) BX,O,SFG,Hunter Pence,Trevor Williams,-1%,45%,Flyball: RF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 0.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 0.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 0.
Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3,Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3,Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3,Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3,Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3,Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3,Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3,Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3,Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3,Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3,Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3,Bottom of the 1st Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 1-2-3
b1,0-0,0,---,4(2-1) BTBX,,PIT,Adam Frazier,Jeff Samardzija,-3%,42%,Single to LF (Ground Ball thru SS-3B Hole)
b1,0-0,0,1--,4(1-2) CFBS,O,PIT,Jose Osuna,Jeff Samardzija,3%,45%,Strikeout Swinging
b1,0-0,1,1--,7(2-2) BBFS1F>FX,O,PIT,John Jaso,Jeff Samardzija,3%,48%,Flyball: RF (RF Line)
b1,0-0,2,1--,5(2-2) 1BFBF1X,O,PIT,Josh Bell,Jeff Samardzija,2%,50%,Groundout: 1B unassisted (Weak 2B-1B)
